"Course","HashTags"
"Apache Spark Essential Training","BigData,DataScience,MachineLearning"
"Java Memory Management","Java,Advanced,Programming"
"Python Automation and Testing","Python,Automation,Scripting"
"Python for Graphics","Python,Graphics,Scripting"
"Machine Learning and AI Foundations","DataScience,MachineLearning,Intermediate"
"Java : Database Integration and JDBC","Java,JDBC,Programming"
"R Programming","R,Programming,MachineLearning"
"Python Design Patterns","Python,Design,Patterns"
"Hadoop for Data Science","Hadoop,DataScience,BigData"
"Java IDE Overview","Java,Programming,IDE"
"Data Science on Google Cloud Platform","DataScience,GCP,Intermediate"
"Scala for Data Science","Scala,DataScience,BigData"
"Kubernetes for Java Developers","Java,Kubernetes,Programming"
"Python Scripting","Python,Scripting,Developer"

